3831,-2557,2790,64,-108,197
3327,-4321,3501,35,-95,201
2356,-4601,2766,13,-82,206
60,-4670,1497,6,-77,211
-2265,-3742,922,-1,-76,219
-5802,-2315,1086,-10,-76,216
-7754,-1368,1694,-14,-78,214
-8653,-1262,2198,-18,-80,210
-8999,-1593,2306,-18,-78,210
-8589,-2095,1198,-20,-76,211
-8706,-2336,637,-20,-73,214
-8245,-2136,-56,-16,-74,217
-7953,-2407,-941,-12,-77,221
-8370,-2469,-2033,0,-87,221
-7736,-1696,-2419,28,-107,211
-6404,-1007,-2954,45,-120,213
-5179,-295,-3053,61,-138,222
-4058,-151,-3016,11,-110,218
-3303,-570,-3093,-32,-80,221
-2249,-1186,-2752,-126,-31,215
-334,-1677,-2727,-240,40,218
2439,-1616,-3189,-265,105,229
6388,-512,-3752,-245,170,264
7572,4164,-243,-245,71,245
8409,1423,4735,-284,88,241
9198,-2769,6148,-302,104,256
10161,-553,2355,-205,30,260
11193,1314,-1605,-147,-1,261
11720,2031,-4241,-68,-67,242
10106,2413,-4493,-10,-151,213
7787,2261,-1327,12,-177,203
5800,566,1291,10,-157,202
4598,-1954,3404,-7,-109,216
3144,-4124,5540,-6,-100,221
1219,-5116,4765,5,-100,222
-1045,-5246,3202,7,-97,218
-3034,-4634,1472,2,-96,215
-4191,-3780,383,-2,-96,213
-5449,-3216,-1024,2,-92,214
-6904,-2378,-281,5,-91,213
-7435,-2634,-922,5,-91,212
-10436,-1338,-1501,9,-90,213
-11031,-1108,-2614,11,-90,213
-9175,-696,-2810,5,-89,208
-7686,-238,-4187,0,-81,199
-6566,-100,-4012,-2,-78,198
-5785,-576,-3560,-2,-78,186
-4944,-1111,-2692,32,-91,172
-4255,-1793,-2012,56,-100,170
-3513,-2612,-2139,83,-134,139
-2959,-2582,-2321,112,-207,66
-2107,-2115,-2277,128,-256,40
-787,-1727,-3175,282,-325,-109
3476,-300,-4934,113,-204,-76
6482,3700,-1371,167,-251,-22
7891,2045,3744,207,-297,71
9006,201,6139,253,-226,97
9831,2845,4586,248,-253,98
10613,3658,173,232,-219,137
11125,3332,-3233,212,-179,180
9671,3013,-4116,185,-175,193
